,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season
5,6.0,2022-10-23,DET,1,DAL,4.8,T.J. Hockenson,TE,2022
6,7.0,2022-10-30,DET,0,MIA,8.0,T.J. Hockenson,TE,2022
7,8.0,2022-11-06,MIN,1,WAS,7.0,T.J. Hockenson,TE,2022
8,9.0,2022-11-13,MIN,1,BUF,4.5,T.J. Hockenson,TE,2022
9,10.0,2022-11-20,MIN,0,DAL,3.4,T.J. Hockenson,TE,2022
10,11.0,2022-11-24,MIN,0,NWE,10.3,T.J. Hockenson,TE,2022
11,12.0,2022-12-04,MIN,0,NYJ,3.3,T.J. Hockenson,TE,2022
12,13.0,2022-12-11,MIN,1,DET,5.7,T.J. Hockenson,TE,2022
13,14.0,2022-12-17,MIN,0,IND,5.3,T.J. Hockenson,TE,2022
14,15.0,2022-12-24,MIN,0,NYG,22.9,T.J. Hockenson,TE,2022
0,1.0,2022-09-11,JAX,1,WAS,13.4,Trevor Lawrence,QB,2022
1,2.0,2022-09-18,JAX,0,IND,18.5,Trevor Lawrence,QB,2022
2,3.0,2022-09-25,JAX,1,LAC,25.18,Trevor Lawrence,QB,2022
3,4.0,2022-10-02,JAX,1,PHI,5.66,Trevor Lawrence,QB,2022
4,5.0,2022-10-09,JAX,0,HOU,10.34,Trevor Lawrence,QB,2022
5,6.0,2022-10-16,JAX,1,IND,24.9,Trevor Lawrence,QB,2022
6,7.0,2022-10-23,JAX,0,NYG,18.7,Trevor Lawrence,QB,2022
7,8.0,2022-10-30,JAX,0,DEN,6.82,Trevor Lawrence,QB,2022
8,9.0,2022-11-06,JAX,0,LVR,16.7,Trevor Lawrence,QB,2022
9,10.0,2022-11-13,JAX,1,KAN,20.96,Trevor Lawrence,QB,2022
10,11.0,2022-11-27,JAX,0,BAL,24.94,Trevor Lawrence,QB,2022
11,12.0,2022-12-04,JAX,1,DET,16.36,Trevor Lawrence,QB,2022
12,13.0,2022-12-11,JAX,1,TEN,33.42,Trevor Lawrence,QB,2022
13,14.0,2022-12-18,JAX,0,DAL,26.82,Trevor Lawrence,QB,2022
14,15.0,2022-12-22,JAX,1,NYJ,18.26,Trevor Lawrence,QB,2022
0,1.0,2022-09-11,NOR,1,ATL,14.3,Taysom Hill,TE,2022
1,2.0,2022-09-18,NOR,0,TAM,1.4,Taysom Hill,TE,2022
2,4.0,2022-10-02,NOR,0,MIN,8.1,Taysom Hill,TE,2022
3,5.0,2022-10-09,NOR,0,SEA,34.08,Taysom Hill,TE,2022
4,6.0,2022-10-16,NOR,0,CIN,4.54,Taysom Hill,TE,2022
5,7.0,2022-10-20,NOR,1,ARI,9.12,Taysom Hill,TE,2022
6,8.0,2022-10-30,NOR,0,LVR,7.28,Taysom Hill,TE,2022
7,9.0,2022-11-07,NOR,0,BAL,1.12,Taysom Hill,TE,2022
8,10.0,2022-11-13,NOR,1,PIT,0.1,Taysom Hill,TE,2022
9,11.0,2022-11-20,NOR,0,LAR,6.56,Taysom Hill,TE,2022
10,12.0,2022-11-27,NOR,1,SFO,2.0,Taysom Hill,TE,2022
11,13.0,2022-12-05,NOR,1,TAM,11.34,Taysom Hill,TE,2022
12,14.0,2022-12-18,NOR,0,ATL,10.2,Taysom Hill,TE,2022
13,15.0,2022-12-24,NOR,1,CLE,11.6,Taysom Hill,TE,2022
0,1.0,2022-09-11,CHI,0,SFO,13.64,Justin Fields,QB,2022
1,2.0,2022-09-18,CHI,1,GNB,8.8,Justin Fields,QB,2022
2,3.0,2022-09-25,CHI,0,HOU,4.94,Justin Fields,QB,2022
3,4.0,2022-10-02,CHI,1,NYG,10.16,Justin Fields,QB,2022
4,5.0,2022-10-09,CHI,1,MIN,17.02,Justin Fields,QB,2022
5,6.0,2022-10-13,CHI,0,WAS,18.4,Justin Fields,QB,2022
6,7.0,2022-10-24,CHI,1,NWE,23.36,Justin Fields,QB,2022
7,8.0,2022-10-30,CHI,1,DAL,26.04,Justin Fields,QB,2022
8,9.0,2022-11-06,CHI,0,MIA,42.72,Justin Fields,QB,2022
9,10.0,2022-11-13,CHI,0,DET,39.38,Justin Fields,QB,2022
10,11.0,2022-11-20,CHI,1,ATL,22.62,Justin Fields,QB,2022
11,13.0,2022-12-04,CHI,0,GNB,19.26,Justin Fields,QB,2022
12,14.0,2022-12-18,CHI,0,PHI,23.58,Justin Fields,QB,2022
13,15.0,2022-12-24,CHI,0,BUF,9.86,Justin Fields,QB,2022
0,1.0,2022-09-11,CIN,0,PIT,2.7,Tee Higgins,WR,2022
1,2.0,2022-09-18,CIN,1,DAL,13.1,Tee Higgins,WR,2022
2,3.0,2022-09-25,CIN,1,NYJ,9.3,Tee Higgins,WR,2022
3,4.0,2022-09-29,CIN,0,MIA,18.4,Tee Higgins,WR,2022
4,5.0,2022-10-09,CIN,1,BAL,,Tee Higgins,WR,2022
5,6.0,2022-10-16,CIN,1,NOR,4.7,Tee Higgins,WR,2022
6,7.0,2022-10-23,CIN,0,ATL,9.3,Tee Higgins,WR,2022
7,8.0,2022-10-31,CIN,1,CLE,10.9,Tee Higgins,WR,2022
8,9.0,2022-11-06,CIN,0,CAR,6.0,Tee Higgins,WR,2022
9,10.0,2022-11-20,CIN,1,PIT,14.8,Tee Higgins,WR,2022
10,11.0,2022-11-27,CIN,1,TEN,17.4,Tee Higgins,WR,2022
11,12.0,2022-12-04,CIN,0,KAN,9.5,Tee Higgins,WR,2022
12,13.0,2022-12-11,CIN,0,CLE,,Tee Higgins,WR,2022
13,14.0,2022-12-18,CIN,1,TAM,11.3,Tee Higgins,WR,2022
14,15.0,2022-12-24,CIN,1,NWE,18.8,Tee Higgins,WR,2022
0,1.0,2022-09-11,DAL,0,TAM,4.9,Ezekiel Elliott,RB,2022
1,2.0,2022-09-18,DAL,0,CIN,4.9,Ezekiel Elliott,RB,2022
2,3.0,2022-09-26,DAL,1,NYG,13.5,Ezekiel Elliott,RB,2022
3,4.0,2022-10-02,DAL,0,WAS,8.1,Ezekiel Elliott,RB,2022
4,5.0,2022-10-09,DAL,1,LAR,7.8,Ezekiel Elliott,RB,2022
5,6.0,2022-10-16,DAL,1,PHI,14.6,Ezekiel Elliott,RB,2022
6,7.0,2022-10-23,DAL,0,DET,17.7,Ezekiel Elliott,RB,2022
7,10.0,2022-11-20,DAL,1,MIN,16.7,Ezekiel Elliott,RB,2022
8,11.0,2022-11-24,DAL,0,NYG,15.5,Ezekiel Elliott,RB,2022
9,12.0,2022-12-04,DAL,0,IND,15.1,Ezekiel Elliott,RB,2022
10,13.0,2022-12-11,DAL,0,HOU,14.1,Ezekiel Elliott,RB,2022
11,14.0,2022-12-18,DAL,1,JAX,13.1,Ezekiel Elliott,RB,2022
12,15.0,2022-12-24,DAL,0,PHI,12.1,Ezekiel Elliott,RB,2022
13,16.0,2022-12-29,DAL,1,TEN,9.7,Ezekiel Elliott,RB,2022
